Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Nick Vannett,NO,TE,522.3,508.7,6.0,17.5,32.4
Maxx Williams,ARI,TE,523.4,500.8,12.0,18.3,31.6
Marcedes Lewis,GB,TE,534.7,520.0,13.0,32.4,26.5
Jacob Harris,LAR,TE,538.1,514.4,11.0,0.0,26.4
Foster Moreau,LV,TE,541.4,542.6,8.0,29.3,25.7
Kaden Smith,NYG,TE,543.7,502.0,10.0,12.6,25.4
Adam Shaheen,MIA,TE,546.0,525.6,14.0,37.2,25.3
Ross Dwelley,SF,TE,550.5,524.5,6.0,34.4,24.6
Durham Smythe,MIA,TE,555.0,518.9,14.0,37.0,24.2
Ian Thomas,CAR,TE,556.1,512.1,13.0,23.1,24.1
Darren Fells,DET,TE,558.4,535.8,9.0,62.3,23.2
Darrell Daniels,ARI,TE,560.6,544.8,12.0,17.1,22.2
Hunter Long,MIA,TE,565.1,548.2,14.0,0.0,20.8
Pharaoh Brown,HOU,TE,567.4,557.2,10.0,31.9,20.5
Dalton Keene,NE,TE,570.8,527.9,14.0,2.0,19.6
Chris Manhertz,JAX,TE,573.0,556.1,7.0,6.6,19.4
Ryan Griffin,NYJ,TE,574.2,562.9,6.0,10.9,19.2
Jace Sternberger,GB,TE,575.3,558.4,13.0,19.6,19.2
Kahale Warring,HOU,TE,577.5,561.7,10.0,4.5,18.9
Matt Sokol,LAC,TE,583.2,569.6,7.0,0.0,18.1
