Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Dez Fitzpatrick,TEN,WR,288.8,278.6,13.0,0.0,44.0
Mohamed Sanu,SF,WR,292.2,279.7,6.0,30.5,43.0
Joshua Palmer,LAC,WR,293.3,283.1,7.0,0.0,42.7
Tyler Johnson,TB,WR,297.8,286.5,9.0,32.6,41.0
Devin Funchess,GB,WR,301.2,289.9,13.0,0.0,39.1
Devin Duvernay,BAL,WR,303.4,293.3,8.0,30.6,38.1
Lynn Bowden Jr.,MIA,WR,304.6,291.0,14.0,28.9,38.1
Miles Boykin,BAL,WR,305.7,296.7,8.0,57.1,37.5
Quez Watkins,PHI,WR,313.6,311.3,14.0,18.7,34.6
Richie James,SF,WR,314.7,294.4,6.0,46.7,34.3
Bisi Johnson,MIN,WR,315.8,300.0,7.0,23.6,34.1
Cedrick Wilson,DAL,WR,318.1,306.8,7.0,39.1,33.9
Freddie Swain,SEA,WR,320.4,310.2,9.0,31.5,33.7
Jalen Hurd,SF,WR,321.5,295.5,6.0,0.0,33.2
David Moore,CAR,WR,323.7,304.6,13.0,94.5,32.8
Isaiah Coulter,HOU,WR,329.4,321.5,10.0,0.0,28.9
Tylan Wallace,BAL,WR,331.6,322.6,8.0,0.0,28.5
Jaelon Darden,TB,WR,332.8,324.9,9.0,0.0,28.2
Andy Isabella,ARI,WR,333.9,317.0,12.0,38.1,28.0
Marquise Goodwin,CHI,WR,335.0,335.0,10.0,0.0,27.4
Noah Brown,DAL,WR,337.3,336.1,7.0,17.8,26.9
Jakeem Grant Sr.,MIA,WR,341.8,320.4,14.0,51.1,24.7
Chad Beebe,MIN,WR,342.9,339.5,7.0,34.0,24.6
Geronimo Allison,DET,WR,345.2,329.4,9.0,0.0,23.3
Marcus Kemp,KC,WR,347.4,332.8,12.0,1.4,22.7
Ben Skowronek,LAR,WR,351.9,340.7,11.0,0.0,22.3
Cameron Batson,TEN,WR,353.1,328.2,13.0,20.3,22.1
Steven Sims Jr.,WAS,WR,356.4,333.9,9.0,34.2,21.5
Christian Blake,ATL,WR,358.7,341.8,6.0,15.9,21.0
Dante Pettis,NYG,WR,361.0,357.6,10.0,13.1,20.7
Isaiah Ford,MIA,WR,362.1,349.7,14.0,31.1,20.6
Kelvin Harmon,WAS,WR,363.2,345.2,9.0,41.7,20.6
Donte Moncrief,HOU,WR,365.5,359.8,10.0,2.4,20.2
