Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Trey Edmunds,PIT,RB,450.1,469.2,7.0,0.0,12.5
Rico Dowdle,DAL,RB,456.8,472.6,7.0,3.1,12.0
Dare Ogunbowale,JAX,RB,459.1,438.8,7.0,22.4,11.8
Patrick Ricard,BAL,RB,463.6,427.5,8.0,10.7,11.5
Lamar Miller,WAS,RB,465.9,499.7,9.0,0.8,11.1
Rodney Smith,CAR,RB,470.4,491.8,13.0,31.0,10.5
Ty'Son Williams,BAL,RB,478.3,526.8,8.0,0.0,10.1
Theo Riddick,LV,RB,480.5,463.6,8.0,7.3,11.2
J.J. Taylor,NE,RB,488.4,517.8,14.0,12.9,11.1
Patrick Laird,MIA,RB,489.6,480.5,14.0,13.5,11.1
Pooka Williams Jr.,CIN,RB,500.8,513.2,10.0,0.0,10.6
Reggie Bonnafon,CAR,RB,502.0,497.4,13.0,16.6,10.5
Alex Armah,NO,RB,516.6,496.3,6.0,3.4,9.8
Gerrid Doaks,MIA,RB,525.6,522.3,14.0,0.0,8.9
Nick Bellore,SEA,RB,547.1,516.6,9.0,1.8,7.2
Mike Warren II,DET,RB,548.2,549.3,9.0,0.0,7.2
Gabe Nabers,LAC,RB,551.6,533.5,7.0,17.1,7.1
Trenton Cannon,CAR,RB,562.9,553.8,13.0,6.2,6.3
Khari Blasingame,TEN,RB,566.3,540.3,13.0,5.0,6.0
Buddy Howell,HOU,RB,569.6,550.5,10.0,8.5,5.7
Derek Watt,PIT,RB,578.7,585.4,7.0,0.0,5.3
Michael Burton,KC,RB,584.3,584.3,12.0,5.9,5.2
Antonio Williams,BUF,RB,586.6,614.8,7.0,22.9,5.1
Keith Smith,ATL,RB,587.7,587.7,6.0,8.4,5.1
John Kelly,CLE,RB,589.9,624.9,13.0,1.1,5.0
Elijhaa Penny,NYG,RB,603.5,593.3,10.0,4.5,4.5
